	Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
152	153	Nedd9	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000021365	ENSMUST00000224083|ENSMUST00000225053|ENSMUST00000225297|ENSMUST00000224803|ENSMUST00000021794|ENSMUST00000163623	NM_001111324|NM_017464	NEDD9		UP, ttest: 2.71296358541167e-05
153	154	Amigo2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000048218	ENSMUST00000229890|ENSMUST00000053106	NM_001164602|NM_001164563|NM_178114	AMIGO2		UP, ttest: 2.74297048380878e-05
154	155	Prodh	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000003526	ENSMUST00000139861|ENSMUST00000126087|ENSMUST00000232554|ENSMUST00000232384|ENSMUST00000132241|ENSMUST00000003620|ENSMUST00000123969|ENSMUST00000232502|ENSMUST00000141635|ENSMUST00000136776	NM_011172	PRODH		UP, ttest: 2.81793831225696e-05
155	156	Eef1d	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000055762	ENSMUST00000055220|ENSMUST00000137426|ENSMUST00000145764|ENSMUST00000141268|ENSMUST00000144614|ENSMUST00000123712|ENSMUST00000154584|ENSMUST00000109972|ENSMUST00000127550|ENSMUST00000141475|ENSMUST00000129800|ENSMUST00000023235|ENSMUST00000089681|ENSMUST00000109975|ENSMUST00000089680|ENSMUST00000151066|ENSMUST00000134222|ENSMUST00000116440	NM_023240|NM_001285432|NM_001285431|NM_001285429|NM_001285430|NM_029663|NM_001285434|NM_001285433	EEF1D		UP, ttest: 2.8753067578058e-05
156	157	Tro	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000025272	ENSMUST00000169450|ENSMUST00000165192|ENSMUST00000112709|ENSMUST00000148604|ENSMUST00000163450|ENSMUST00000163969|ENSMUST00000171775|ENSMUST00000151403|ENSMUST00000164071|ENSMUST00000087253|ENSMUST00000087258	NM_001290772|NM_001002272|NM_001290771|NM_019548|NM_001290770	TRO		UP, ttest: 2.89552685010923e-05
157	158	Gpx3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000018339	ENSMUST00000125094|ENSMUST00000082430|ENSMUST00000149324	NM_008161|NM_001329860	GPX3		UP, ttest: 2.90971072881475e-05
158	159	AI607873	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000073490	ENSMUST00000042610|ENSMUST00000127730	NM_001204910			UP, ttest: 2.91903006708311e-05
159	160	Ccdc3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000026676	ENSMUST00000027988	NM_028804	CCDC3		UP, ttest: 2.970895546544201e-05
160	161	Rin2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000001768	ENSMUST00000144661|ENSMUST00000149269|ENSMUST00000144278|ENSMUST00000110005|ENSMUST00000142847|ENSMUST00000094480|ENSMUST00000150449|ENSMUST00000145874|ENSMUST00000137180|ENSMUST00000147976|ENSMUST00000231581	NM_028724|NM_001406509|NM_001406508	RIN2		UP, ttest: 2.978304409035191e-05
161	162	Nuak1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000020032	ENSMUST00000020220|ENSMUST00000129355	NM_001004363	NUAK1		UP, ttest: 3.02079545632348e-05
162	163	Rassf4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000042129	ENSMUST00000204203|ENSMUST00000204313|ENSMUST00000035842|ENSMUST00000204576|ENSMUST00000203477|ENSMUST00000203029|ENSMUST00000203634	NM_178045	RASSF4		UP, ttest: 3.03667627097165e-05
163	164	Crip3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000023968	ENSMUST00000024764|ENSMUST00000164180|ENSMUST00000113465|ENSMUST00000165811|ENSMUST00000165993|ENSMUST00000169441|ENSMUST00000165750	NM_181664|NM_053250	CRIP3		UP, ttest: 3.0494868531739e-05
