	Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
222	223	Ttpal	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000017679	ENSMUST00000152135|ENSMUST00000109408|ENSMUST00000109405|ENSMUST00000132904|ENSMUST00000156839|ENSMUST00000171696|ENSMUST00000144729	NM_029512|NM_001305803|NM_181734	TTPAL		UP, ttest: 7.901297791121821e-05
223	224	Mthfd2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000005667	ENSMUST00000141044|ENSMUST00000203847|ENSMUST00000203375|ENSMUST00000005810|ENSMUST00000139802|ENSMUST00000204472|ENSMUST00000141193	NM_008638	MTHFD2		UP, ttest: 8.129417164789891e-05
224	225	Rasgrf1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000032356	ENSMUST00000034912|ENSMUST00000189545|ENSMUST00000190073|ENSMUST00000034909	NM_011245|NM_001039655|NM_001357743	RASGRF1		UP, ttest: 8.139256782660061e-05
225	226	Crybb1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000029343	ENSMUST00000131673|ENSMUST00000031286|ENSMUST00000112375	NM_023695|NM_001312893|NM_001312895|NM_001312894	CRYBB1		UP, ttest: 8.270226491223041e-05
226	227	Atad4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000047040	ENSMUST00000054311|ENSMUST00000107633|ENSMUST00000107636|ENSMUST00000132865|ENSMUST00000062172	NM_146026	PRR15L		UP, ttest: 8.36423941299346e-05
227	228	9330162L04Rik	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 8.67679735983006e-05
228	229	Plekhf1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000074170	ENSMUST00000098513	NM_024413	PLEKHF1		UP, ttest: 8.79228535326293e-05
229	230	Usp2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000032010	ENSMUST00000114830|ENSMUST00000175816|ENSMUST00000034508|ENSMUST00000177422|ENSMUST00000176416|ENSMUST00000176022|ENSMUST00000065461|ENSMUST00000176671|ENSMUST00000177054	NM_016808|NM_198092|NM_001407818|NM_001407822|NM_001407820|NM_001407819|NM_001407821|NM_198091	USP2		UP, ttest: 8.87823364938698e-05
230	231	Nxn	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000020844	ENSMUST00000021204|ENSMUST00000131472	NM_008750	NXN		UP, ttest: 8.995902523107431e-05
231	232	Gli2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000048402	ENSMUST00000161301|ENSMUST00000160991|ENSMUST00000161451|ENSMUST00000162607|ENSMUST00000159678|ENSMUST00000161056|ENSMUST00000062483|ENSMUST00000159839|ENSMUST00000162552	NM_001081125	GLI2		UP, ttest: 9.04195829239391e-05
232	233	Ada	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000017697	ENSMUST00000017841|ENSMUST00000156939	NM_007398|NM_001272052	ADA		UP, ttest: 9.28062873622234e-05
233	234	Cryba4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000066975	ENSMUST00000112385|ENSMUST00000086629|ENSMUST00000112383	NM_001312884|NM_021351	CRYBA4		UP, ttest: 9.31949902268576e-05
234	235	Smox	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000027333	ENSMUST00000183881|ENSMUST00000110182|ENSMUST00000151627|ENSMUST00000110188|ENSMUST00000183575|ENSMUST00000110189|ENSMUST00000110186|ENSMUST00000110181|ENSMUST00000129143|ENSMUST00000131698|ENSMUST00000110180|ENSMUST00000151143|ENSMUST00000028806|ENSMUST00000183947|ENSMUST00000149180|ENSMUST00000110183|ENSMUST00000110179	NM_001177837|NM_001177839|NM_001177836|NM_001177833|NM_145533|NM_001177834|NM_001177838|NM_001177835|NM_001177840	SMOX		UP, ttest: 9.3558973623899e-05
235	236	Nfkbia	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000021025	ENSMUST00000219869|ENSMUST00000021413	NM_010907	NFKBIA		UP, ttest: 9.451194085277571e-05
236	237	Kcnt1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000058740	ENSMUST00000153001|ENSMUST00000199269|ENSMUST00000200434|ENSMUST00000197917|ENSMUST00000171268|ENSMUST00000138568|ENSMUST00000131529|ENSMUST00000114176|ENSMUST00000128502|ENSMUST00000150788|ENSMUST00000037580|ENSMUST00000114170|ENSMUST00000198204|ENSMUST00000114172|ENSMUST00000145544	NM_001302351|NM_001145403|NM_175462	KCNT1		UP, ttest: 9.467865902726762e-05
237	238	Rilpl1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000029392	ENSMUST00000199125|ENSMUST00000199766|ENSMUST00000062153|ENSMUST00000200202	NM_021430	RILPL1		UP, ttest: 9.49312801795143e-05
238	239	Pik3r1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000041417	ENSMUST00000187009|ENSMUST00000035532|ENSMUST00000185701|ENSMUST00000055518|ENSMUST00000189426|ENSMUST00000185795|ENSMUST00000190171	NM_001077495|NM_001024955	PIK3R1		UP, ttest: 9.578658752035431e-05
239	240	1300007L22Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000018387	ENSMUST00000109010|ENSMUST00000018531|ENSMUST00000146001|ENSMUST00000093114|ENSMUST00000155297|ENSMUST00000109013	NM_001290789|NM_027917	SHROOM1		UP, ttest: 9.693928616877732e-05
240	241	D16H22S680E	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000013539	ENSMUST00000232558|ENSMUST00000130752|ENSMUST00000232588|ENSMUST00000152684|ENSMUST00000145758|ENSMUST00000231255|ENSMUST00000125287|ENSMUST00000128580|ENSMUST00000231308|ENSMUST00000231372|ENSMUST00000145203|ENSMUST00000231605|ENSMUST00000232073|ENSMUST00000142677|ENSMUST00000231543|ENSMUST00000232192|ENSMUST00000115628|ENSMUST00000134385|ENSMUST00000150152	NM_138583|NM_001359109|NM_001359111|NM_001359108|NM_001359110	TANGO2		UP, ttest: 9.708180687428021e-05
241	242	Gab3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000032750	ENSMUST00000129495|ENSMUST00000037374|ENSMUST00000114104|ENSMUST00000127024|ENSMUST00000114109	NM_001251890|NM_181584	GAB3		UP, ttest: 0.000100018803205274
242	243	Agxt2l1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000019232	ENSMUST00000072271|ENSMUST00000166187|ENSMUST00000170664|ENSMUST00000172432|ENSMUST00000199940|ENSMUST00000163620	NM_027907|NM_001163587	ETNPPL		UP, ttest: 0.000100864730014909
243	244	Mrc1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000026712	ENSMUST00000028045|ENSMUST00000146168	NM_008625	MRC1		UP, ttest: 0.000102426981467225
244	245	Il6ra	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000027947	ENSMUST00000029559|ENSMUST00000197679	NM_010559|NM_001310676	IL6R		UP, ttest: 0.000104311281432602
245	246	Dok1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000068335	ENSMUST00000149918|ENSMUST00000089651|ENSMUST00000204900	NM_001291799|NM_010070	DOK1		UP, ttest: 0.000108291712316346
246	247	Lrrc8a	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000007476	ENSMUST00000113654|ENSMUST00000095078	NM_177725	LRRC8A		UP, ttest: 0.000110263396984318
247	248	1110038D17Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000033416	ENSMUST00000147269|ENSMUST00000136763|ENSMUST00000145890|ENSMUST00000219774|ENSMUST00000118936|ENSMUST00000138122|ENSMUST00000123505|ENSMUST00000129307|ENSMUST00000128419|ENSMUST00000153125|ENSMUST00000039796	NM_175133|NM_001347201	GUCD1		UP, ttest: 0.000111341743292245
248	249	Rnf185	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000020448	ENSMUST00000077078|ENSMUST00000144055|ENSMUST00000064364	NM_001290472|NM_001290473|NM_145355	RNF185		UP, ttest: 0.00011177546102995
249	250	Chk	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000024843	ENSMUST00000146463|ENSMUST00000025760|ENSMUST00000072055|ENSMUST00000125411|ENSMUST00000128694|ENSMUST00000153343|ENSMUST00000127544|ENSMUST00000125013|ENSMUST00000139655|ENSMUST00000154467|ENSMUST00000124219|ENSMUST00000148325|ENSMUST00000125859|ENSMUST00000125640	NM_001271496|NM_013490	CHKA		UP, ttest: 0.000112329150899447
250	251	Mfhas1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000070056	ENSMUST00000154989|ENSMUST00000209953|ENSMUST00000037666	NM_001364259|NM_001081279	MFHAS1		UP, ttest: 0.000113760171787729
251	252	Azin1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000037458	ENSMUST00000127848|ENSMUST00000152833|ENSMUST00000110328|ENSMUST00000110329|ENSMUST00000151319|ENSMUST00000065308|ENSMUST00000226152|ENSMUST00000129589|ENSMUST00000149293	NM_001301688|NM_018745|NM_001102458	AZIN1		UP, ttest: 0.000113845904964455
252	253	Pnpla7	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000036833	ENSMUST00000137913|ENSMUST00000153618|ENSMUST00000045295|ENSMUST00000139643|ENSMUST00000146153|ENSMUST00000154359|ENSMUST00000155601|ENSMUST00000145508|ENSMUST00000128517|ENSMUST00000142139|ENSMUST00000152777|ENSMUST00000132082|ENSMUST00000139031|ENSMUST00000141584|ENSMUST00000138536	NM_146251	PNPLA7		UP, ttest: 0.000113847167909005
253	254	Tmod1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000028328	ENSMUST00000136553|ENSMUST00000128689|ENSMUST00000155730|ENSMUST00000156200|ENSMUST00000107773	NM_021883	TMOD1		UP, ttest: 0.000116388235023581
254	255	Klf4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000003032	ENSMUST00000107619|ENSMUST00000132746|ENSMUST00000129250	NM_010637	KLF4		UP, ttest: 0.00012014508932137
255	256	Dok1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000068335	ENSMUST00000149918|ENSMUST00000089651|ENSMUST00000204900	NM_001291799|NM_010070	DOK1		UP, ttest: 0.000123843496558299
256	257	Hspa1a	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000091971	ENSMUST00000087328	NM_010479	HSPA1A		UP, ttest: 0.000124052979182507
257	258	Igfbp3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000020427	ENSMUST00000020702|ENSMUST00000135887	NM_008343	IGFBP3		UP, ttest: 0.000129919718382375
258	259	LOC100038993	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 0.000130075213224661
259	260	Got1l1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000039720	ENSMUST00000038174|ENSMUST00000211002|ENSMUST00000209281|ENSMUST00000209699|ENSMUST00000209299	NM_029674	GOT1L1		UP, ttest: 0.000130805178590932
260	261	Tox	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000041272	ENSMUST00000125974|ENSMUST00000147657|ENSMUST00000039987|ENSMUST00000150082	NM_145711|NM_001377078|NM_001377079	TOX		UP, ttest: 0.000131836887156245
261	262	Tro	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000025272	ENSMUST00000169450|ENSMUST00000165192|ENSMUST00000112709|ENSMUST00000148604|ENSMUST00000163450|ENSMUST00000163969|ENSMUST00000171775|ENSMUST00000151403|ENSMUST00000164071|ENSMUST00000087253|ENSMUST00000087258	NM_001290772|NM_001002272|NM_001290771|NM_019548|NM_001290770	TRO		UP, ttest: 0.000132126070109228
262	263	R74862	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000059277	ENSMUST00000155952|ENSMUST00000133630|ENSMUST00000247295|ENSMUST00000131129				UP, ttest: 0.000136708106646486
263	264	Slc38a2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022462	ENSMUST00000023099|ENSMUST00000229141	NM_175121|NM_001355633	SLC38A2		UP, ttest: 0.000136730132570804
264	265	A630082K20Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000042599	ENSMUST00000127036|ENSMUST00000002305	NM_001033430	KDM7A		UP, ttest: 0.000139437139051443
265	266	Arrdc2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000002910	ENSMUST00000212405|ENSMUST00000212855|ENSMUST00000212508|ENSMUST00000002989|ENSMUST00000212898|ENSMUST00000213095|ENSMUST00000212770	NM_027560	ARRDC2		UP, ttest: 0.000143001926434416
266	267	Nedd9	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000021365	ENSMUST00000224083|ENSMUST00000225053|ENSMUST00000225297|ENSMUST00000224803|ENSMUST00000021794|ENSMUST00000163623	NM_001111324|NM_017464	NEDD9		UP, ttest: 0.000143810017211785
267	268	Serpina3h	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000041449	ENSMUST00000116393				UP, ttest: 0.000147543276475502
268	269	Tagap	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000033450	ENSMUST00000036370|ENSMUST00000226153	NM_145968	TAGAP		UP, ttest: 0.000147590817874881
269	270	C230098O21Rik	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 0.000147616303041414
270	271	LOC100041516	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 0.000150543531371365
271	272	Rora	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000032238	ENSMUST00000143507|ENSMUST00000034766|ENSMUST00000140351|ENSMUST00000132355|ENSMUST00000174296|ENSMUST00000113624	NM_013646|NM_001289916|NM_001289917	RORA		UP, ttest: 0.000152790109619308
272	273	9030024J15Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000020122	ENSMUST00000125984|ENSMUST00000102884|ENSMUST00000138518|ENSMUST00000020329|ENSMUST00000139722	NM_207655|NM_007912	EGFR		UP, ttest: 0.000157932524503956
273	274	Nuak1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000020032	ENSMUST00000020220|ENSMUST00000129355	NM_001004363	NUAK1		UP, ttest: 0.000158110641387679
274	275	Rbpms	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000031586	ENSMUST00000182987|ENSMUST00000182926|ENSMUST00000033995|ENSMUST00000191473|ENSMUST00000183088|ENSMUST00000182184|ENSMUST00000053251|ENSMUST00000182871|ENSMUST00000183122|ENSMUST00000231786|ENSMUST00000231942|ENSMUST00000182256|ENSMUST00000033994|ENSMUST00000183336|ENSMUST00000183062	NM_019733|NM_001042674|NM_001042675|NM_001286168	RBPMS		UP, ttest: 0.000158430931470331
275	276	Defb1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000044748	ENSMUST00000051017	NM_007843			UP, ttest: 0.000159128331930148
276	277	Dcun1d3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000048787	ENSMUST00000059851|ENSMUST00000106519|ENSMUST00000207233|ENSMUST00000137888|ENSMUST00000142120|ENSMUST00000207488|ENSMUST00000098080	NM_173408|NM_001163703	DCUN1D3		UP, ttest: 0.000163823823717952
277	278	Mxd4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000037235	ENSMUST00000119171|ENSMUST00000201763|ENSMUST00000042701|ENSMUST00000201189	NM_010753	MXD4		UP, ttest: 0.000166979149922226
278	279	Rtp1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000033383	ENSMUST00000038730	NM_001004151	RTP1		UP, ttest: 0.000168992348749364
279	280	Pex11a	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000030545	ENSMUST00000139620|ENSMUST00000205297|ENSMUST00000032761|ENSMUST00000150606	NM_011068	PEX11A		UP, ttest: 0.000169405448113473
280	281	Zbtb16	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000066687	ENSMUST00000093852|ENSMUST00000216150	NM_001033324|NM_001364543	ZBTB16		UP, ttest: 0.000175184894947347
281	282	Tlr7	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000044583	ENSMUST00000060719|ENSMUST00000145284|ENSMUST00000112164|ENSMUST00000149507|ENSMUST00000112161|ENSMUST00000137492	NM_001290758|NM_001290756|NM_133211|NM_001290755|NM_001290757	TLR7		UP, ttest: 0.000178966378053888
282	283	Kcnt1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000058740	ENSMUST00000153001|ENSMUST00000199269|ENSMUST00000200434|ENSMUST00000197917|ENSMUST00000171268|ENSMUST00000138568|ENSMUST00000131529|ENSMUST00000114176|ENSMUST00000128502|ENSMUST00000150788|ENSMUST00000037580|ENSMUST00000114170|ENSMUST00000198204|ENSMUST00000114172|ENSMUST00000145544	NM_001302351|NM_001145403|NM_175462	KCNT1		UP, ttest: 0.000179522773063996
283	284	Bcl2l1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000007659	ENSMUST00000007803|ENSMUST00000128172|ENSMUST00000109820|ENSMUST00000173755|ENSMUST00000156688|ENSMUST00000134902|ENSMUST00000146380|ENSMUST00000134357|ENSMUST00000140436	NM_009743|NM_001289717|NM_001289716|NM_001355053	BCL2L1		UP, ttest: 0.00017983545899547
284	285	B230312E02Rik	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 0.000180847816194814
285	286	Hr	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022096	ENSMUST00000163060|ENSMUST00000161069|ENSMUST00000161468|ENSMUST00000022691|ENSMUST00000159959	NM_001379479|NM_021877	HR		UP, ttest: 0.000181356831736652
286	287	Lmod1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000048096	ENSMUST00000059352	NM_053106	LMOD1		UP, ttest: 0.00018240083534913
287	288	Sla	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022372	ENSMUST00000168589|ENSMUST00000100572|ENSMUST00000164163|ENSMUST00000168522|ENSMUST00000164939	NM_009192|NM_001029841	SLA		UP, ttest: 0.000182899530299831
288	289	Tle3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000032280	ENSMUST00000178113|ENSMUST00000162281|ENSMUST00000162583|ENSMUST00000161194|ENSMUST00000159386|ENSMUST00000034820|ENSMUST00000161207|ENSMUST00000160882|ENSMUST00000160724|ENSMUST00000162127|ENSMUST00000159140|ENSMUST00000159630|ENSMUST00000160541|ENSMUST00000159050|ENSMUST00000162962|ENSMUST00000162973|ENSMUST00000161689|ENSMUST00000161993	NM_001083928|NM_009389|NM_001083927	TLE3		UP, ttest: 0.000185887004204901
289	290	Ppm1k	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000037826	ENSMUST00000203713|ENSMUST00000204607|ENSMUST00000042766	NM_175523	PPM1K		UP, ttest: 0.000186338070003299
290	291	BC030335	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 0.000192736378197564
291	292	Sept8	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000018398	ENSMUST00000121334|ENSMUST00000108987|ENSMUST00000117061|ENSMUST00000142800|ENSMUST00000120878|ENSMUST00000147912|ENSMUST00000145927	NM_001361969|NM_001252332|NM_001347496|NM_033144|NM_001361968|NM_001252333	SEPTIN8		UP, ttest: 0.000195219334955512
292	293	Cited2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000039910	ENSMUST00000219558|ENSMUST00000218370|ENSMUST00000038107	NM_010828	CITED2		UP, ttest: 0.000195854586687411
293	294	Rab4a	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000019478	ENSMUST00000117702|ENSMUST00000212846|ENSMUST00000118535	NM_009003	RAB4A		UP, ttest: 0.00019595304342931
294	295	Retsat	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000056666	ENSMUST00000175824|ENSMUST00000205878|ENSMUST00000070597|ENSMUST00000176168|ENSMUST00000176364|ENSMUST00000129071	NM_026159	RETSAT		UP, ttest: 0.000205952198648727
295	296	2410081M15Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000028807	ENSMUST00000030610	NM_028603	ZBTB8A		UP, ttest: 0.000206994429714969
296	297	St6galnac2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000057286|ENSMUSG00000110170	ENSMUST00000123236|ENSMUST00000144398|ENSMUST00000145441|ENSMUST00000079545|ENSMUST00000129236|ENSMUST00000135771	NM_009180	ST6GALNAC2		UP, ttest: 0.000208917668287577
297	298	Lrrc8	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000007476	ENSMUST00000113654|ENSMUST00000095078	NM_177725	LRRC8A		UP, ttest: 0.000209441518924717
298	299	Timp4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000030317	ENSMUST00000032462|ENSMUST00000205131	NM_080639|NM_001356406	TIMP4		UP, ttest: 0.000212904814051159
299	300	Mnat1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000021103	ENSMUST00000189644|ENSMUST00000021523|ENSMUST00000187549	NM_008612	MNAT1		UP, ttest: 0.000216416207354542
300	301	Kcnk1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000033998	ENSMUST00000212831|ENSMUST00000046765	NM_008430	KCNK1		UP, ttest: 0.000220480823491547
301	302	Klf6	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000000078	ENSMUST00000221734|ENSMUST00000222857|ENSMUST00000000080	NM_011803	KLF6		UP, ttest: 0.000220939784077169
302	303	2310076L09Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000011305	ENSMUST00000019808|ENSMUST00000113072	NM_025874|NM_001077348	PLIN5		UP, ttest: 0.000231012275144443
303	304	Kcnk6	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000046410	ENSMUST00000085818|ENSMUST00000208807	NM_001033525	KCNK6		UP, ttest: 0.000231658227425576
304	305	Klrg2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000071537	ENSMUST00000202245|ENSMUST00000096030|ENSMUST00000201345	NM_001033171	KLRG2		UP, ttest: 0.000232361027041133
305	306	2310043I08Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000023153	ENSMUST00000023920|ENSMUST00000131599|ENSMUST00000178238|ENSMUST00000178188|ENSMUST00000145796	NM_001253856|NM_001253858|NM_027161	TMEM52		UP, ttest: 0.000235251165401861
306	307	Igsf11	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022790	ENSMUST00000210471|ENSMUST00000209958|ENSMUST00000210186|ENSMUST00000114706|ENSMUST00000023478	NM_170599	IGSF11		UP, ttest: 0.00023706348760602
307	308	Ccbl1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000039648	ENSMUST00000113662|ENSMUST00000148555|ENSMUST00000113661|ENSMUST00000113660|ENSMUST00000113663|ENSMUST00000149522|ENSMUST00000113659|ENSMUST00000044038	NM_172404|NM_001356474|NM_001356475	KYAT1		UP, ttest: 0.000239467002824725
308	309	Arrdc2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000002910	ENSMUST00000212405|ENSMUST00000212855|ENSMUST00000212508|ENSMUST00000002989|ENSMUST00000212898|ENSMUST00000213095|ENSMUST00000212770	NM_027560	ARRDC2		UP, ttest: 0.000248980547510866
309	310	LOC381019	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 0.000254179643289827
310	311	Fbxo18	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000058594	ENSMUST00000155604|ENSMUST00000131893|ENSMUST00000151402|ENSMUST00000123723|ENSMUST00000123717|ENSMUST00000071564|ENSMUST00000136633|ENSMUST00000192171|ENSMUST00000126543|ENSMUST00000139292	NM_001348237|NM_001348235|NM_001348236|NM_001348234|NM_015792	FBH1		UP, ttest: 0.000256284627055922
311	312	Tmem166	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000035104	ENSMUST00000150976|ENSMUST00000149023|ENSMUST00000150691|ENSMUST00000042974	NM_145570	EVA1A		UP, ttest: 0.000257626755656818
312	313	Hmgcs2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000027875	ENSMUST00000090746|ENSMUST00000120541	NM_008256	HMGCS2		UP, ttest: 0.000275154413302182
313	314	Stim1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000030987	ENSMUST00000210834|ENSMUST00000211058|ENSMUST00000211141|ENSMUST00000033289|ENSMUST00000210266|ENSMUST00000211457|ENSMUST00000210544|ENSMUST00000209255|ENSMUST00000210761	NM_009287|NM_001400557|NM_001374058|NM_001374060	STIM1		UP, ttest: 0.000278608141532056
314	315	Cd109	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000046186	ENSMUST00000093812|ENSMUST00000163608	NM_153098	CD109		UP, ttest: 0.000283382877098679
315	316	LOC100045947	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 0.000286071340531722
316	317	Cbs	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000024039	ENSMUST00000151718|ENSMUST00000235180|ENSMUST00000078509|ENSMUST00000236909|ENSMUST00000067801|ENSMUST00000143982|ENSMUST00000128351|ENSMUST00000135425|ENSMUST00000118504|ENSMUST00000236853|ENSMUST00000151597|ENSMUST00000155814	NM_144855|NM_178224|NM_001271353|NM_001410012	CBS		UP, ttest: 0.000296009984253185
317	318	Mbnl2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022139	ENSMUST00000088419|ENSMUST00000226800|ENSMUST00000227508|ENSMUST00000167459|ENSMUST00000227012|ENSMUST00000227644|ENSMUST00000227484|ENSMUST00000227153|ENSMUST00000228115|ENSMUST00000227594	NM_001360376|NM_001360379|NM_175341|NM_001360377|NM_001360380|NM_207515|NM_001360378	MBNL2		UP, ttest: 0.000303263751703193
318	319	Klf15	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000030087	ENSMUST00000113530|ENSMUST00000203039|ENSMUST00000032174|ENSMUST00000205136|ENSMUST00000203607	NM_023184	KLF15		UP, ttest: 0.000314281873666594
319	320	Ms4a6d	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000024679	ENSMUST00000155669|ENSMUST00000125291|ENSMUST00000135351|ENSMUST00000025582	NM_026835	MS4A6E		UP, ttest: 0.000318616299104468
320	321	2900057K09Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000058761	ENSMUST00000080817|ENSMUST00000174264	NM_175388	RNF169		UP, ttest: 0.000325631371466082
321	322	Tcfcp2l1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000026380	ENSMUST00000190652|ENSMUST00000027629	NM_023755	TFCP2L1		UP, ttest: 0.000326269283825324
322	323	Sh3rf1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000031642	ENSMUST00000210210|ENSMUST00000034060|ENSMUST00000209611	NM_021506	SH3RF1		UP, ttest: 0.00033290619021987
323	324	AI593442	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000078307	ENSMUST00000213937|ENSMUST00000098768|ENSMUST00000213843	NM_001286641|NM_178906	C11orf87		UP, ttest: 0.000334820226314044
324	325	Klf4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000003032	ENSMUST00000107619|ENSMUST00000132746|ENSMUST00000129250	NM_010637	KLF4		UP, ttest: 0.00034001881593052
325	326	Gpld1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000021340	ENSMUST00000128315|ENSMUST00000021773|ENSMUST00000223873	NM_008156	GPLD1		UP, ttest: 0.000342710632784337
326	327	Bcl6	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022508	ENSMUST00000023151|ENSMUST00000135352	NM_001348026|NM_009744	BCL6		UP, ttest: 0.000348143542735207
