	Probe.Set	Identifier	FirstOfLocuslink	FirstOfName	FirstOfFunction	Description	ANOVA.TREAT	ANOVA.CELL	ANOVA.INT	FDR_ANOVA.TREAT	FDR_ANOVA.CELL	FDR_ANOVA.INT	TTEST.ASTRO.DEX	TTEST.ASTRO.ALD	TTEST.ASTRO.DHT	TTEST.ASTRO.PRG	TTEST.ASTRO.ESR	TTEST.NEURO.DEX	TTEST.NEURO.ALD	TTEST.NEURO.DHT	TTEST.NEURO.PRG	TTEST.NEURO.ESR	FDR_TTEST.ASTRO.DEX	FDR_TTEST.ASTRO.ALD	FDR_TTEST.ASTRO.DHT	FDR_TTEST.ASTRO.PRG	FDR_TTEST.ASTRO.ESR	FDR_TTEST.NEURO.DEX	FDR_TTEST.NEURO.ALD	FDR_TTEST.NEURO.DHT	FDR_TTEST.NEURO.PRG	FDR_TTEST.NEURO.ESR	FOLD.ASTRO.DEX	FOLD.ASTRO.ALD	FOLD.ASTRO.DHT	FOLD.ASTRO.PRG	FOLD.ASTRO.ESR	FOLD.NEURO.DEX	FOLD.NEURO.ALD	FOLD.NEURO.DHT	FOLD.NEURO.PRG	FOLD.NEURO.ESR
0	ILMN_2718266	NM_010220.2	NP_034350.1	Fkbp5			1.63332723797309e-33	0.15210598397597802	6.19611449364926e-28	7.54172518861694e-29	0.205384890165715	2.86099390629761e-23	9.14161669839965e-09	1.3720617350891498e-07	0.583189868586337	0.006970797640873	0.319987618835311	9.219821657868821e-05	0.400543846041132	0.0551931126868899	0.033664124138607004	0.397358404824727	8.44210018863811e-05	0.00298311093927957	0.9654154814713141	0.728171641005082	0.95588708088218	0.253466435714995	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	4.3157578125	2.3819296875	0.0536354166666655	0.495515624999999	0.100065104166665	0.8249479166666681	-0.0541302083333335	-0.126888020833333	-0.213716145833333	-0.040320312500000496
1	ILMN_1250356	NM_001010937.1	NP_001010937.1	Gjb6			1.3872960698794603e-30	1.59074434522569e-26	3.21878757601252e-13	3.2028504365307004e-26	1.34970653062204e-25	2.3591158338857497e-10	1.2143443116674299e-08	1.35878181976531e-05	0.6820505945704981	0.35094075418041804	0.0640198756314986	1.2897904238065501e-05	0.801989826789214	0.227877662713094	0.0812963288653637	0.956534338087583	9.295562016350641e-05	0.0190122399229829	0.9767633439718221	0.9206682075449211	0.9148426913910791	0.11910956605768701	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	3.17872135416667	1.20820052083333	-0.0356744791666674	0.0946484375000001	-0.22297395833333403	1.92296875	0.026997395833333798	-0.140518229166666	-0.167039062499999	0.00475260416666679
2	ILMN_2761046	NM_027460.2	NP_081736.2	Slc25a33			3.4202568423598697e-29	3.16958013304662e-28	3.07767601956874e-26	5.26423131463749e-25	3.1019964617061203e-27	7.1054306263783605e-22	3.2913184403289303e-09	1.6434080150165599e-06	0.00584385108334087	0.0026085947236374903	0.102654649029059	0.0123465398913053	0.7615273919174811	0.6439334872341831	0.7759241905720191	0.548192027017897	3.85252802749791e-05	0.00583713243733652	0.8456116380494431	0.6717099659914241	0.934626371936716	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	4.03754166666667	1.82001302083333	0.23681770833333401	0.463307291666666	0.139601562500001	0.3565859375	0.0282473958333345	-0.0588020833333331	-0.030794270833332898	-0.0730026041666658
3	ILMN_2947292	NM_016693.3	NP_057902.3	Map3k6			3.93322470023946e-28	1.10811160660218e-28	1.88229963040152e-23	4.54031793272142e-24	1.13073912316573e-27	2.5510002896911e-19	1.9361596369648e-07	0.000141387782101099	0.690408166120797	0.25651948986884204	0.497753603571766	0.000179055551358777	0.301970334102177	0.38201830481215504	0.9114809119701731	0.8876542097720741	0.00025138358382958704	0.0764703514453953	0.9768273546789571	0.9107027700615161	0.9717930829761621	0.29456729905344203	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	2.88540364583333	0.7541536458333321	0.0420911458333331	0.14954166666666702	0.0634973958333331	0.452640625	0.054052083333332696	0.0549296875000005	0.00936197916666615	-0.00913541666666617
4	ILMN_1224336	NM_029035.2	NP_083311.1	Spsb1			5.1758932103554305e-28	9.436788370465271e-43	1.6431001085680798e-14	4.7798338618990395e-24	6.03510064013661e-41	1.51737008826045e-11	1.5949082212992e-07	7.843824599550761e-05	0.015865647198613	0.73882775035503	0.008907225551190381	2.14526799207402e-05	0.12363823866994401	0.489175344119385	0.9134660927264331	0.789478491364459	0.000245477640700898	0.0584162511386543	0.868294874397281	0.97471441625531	0.867316536877425	0.15690839699474302	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	1.884953125	0.713216145833332	-0.19738020833333403	0.0238854166666655	-0.262747395833335	0.9065937499999991	0.14856770833333302	-0.0761171874999995	-0.0094635416666673	-0.0241510416666664
5	ILMN_1259322	NM_013743.2	NP_038771.1	Pdk4			2.0539960607225003e-27	1.2051956582307999e-30	1.9010849457172298e-08	1.58068690179668e-23	1.46791623115667e-29	5.103528853694619e-06	6.35423507595005e-08	1.28986243256264e-06	0.6791413585154841	0.0005312346385834071	0.21735492983837	3.6165384372475204e-05	0.057367740929353796	0.320463757322545	0.9479709352325391	0.6347976755800491	0.00013336384108950802	0.00583713243733652	0.9756899983482251	0.434403748281568	0.9490685254261141	0.166990045801467	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	3.45117708333333	2.22634635416667	0.049427083333332796	0.799929687500001	0.1715546875	2.35663541666667	0.6798359375	-0.22837760416666503	-0.013789062500000799	-0.100591145833333
6	ILMN_2701664	NM_010286.3	NP_034416.3	Tsc22d3			3.98890500138886e-27	4.33963347397328e-23	9.73734958688741e-21	2.63119570763042e-23	2.83220121593275e-22	3.45855676788415e-17	4.60121586404301e-08	2.15553447496602e-06	0.0577166940391523	0.0007709477545879821	0.8287427520596351	0.00031569750202854204	0.40556261366552104	0.580230389318765	0.9182283496893661	0.9935693371959091	0.00011803141183684601	0.006635309923138741	0.8845768646342911	0.487640296169116	0.99275959311239	0.340409079398971	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	3.87559895833333	2.33100260416667	0.21669791666666702	0.6388619791666661	-0.0215624999999999	0.931895833333334	0.113138020833333	-0.0446354166666669	-0.0106015624999998	-0.0006302083333338261
7	ILMN_1231204	XM_194453.3		LOC270152			6.12948913020907e-27	1.1602928395338098e-16	2.54012659427205e-21	3.53778788872842e-23	5.11850210878325e-16	1.3031978373768601e-17	2.91286773009802e-07	0.0114080073212753	0.544669141434575	0.275049364306307	0.5301991724990031	0.000595781204632134	0.8316376752818051	0.571960464831742	0.5433475475363491	0.544420645215837	0.000305678987658059	0.45924440283571405	0.9613812804799861	0.9108991004944981	0.9746040027443561	0.44826947164339603	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	2.68171614583333	0.41544791666666603	-0.0647083333333338	0.0887239583333326	-0.0532760416666669	0.46871614583333304	0.0122447916666664	-0.0315598958333334	-0.0542890624999997	-0.0402786458333333
8	ILMN_2649671	AF416641		Ipas			1.6880777643502802e-26	1.30948971506198e-25	5.384147780045689e-07	8.660589187901101e-23	1.0321676016263499e-24	0.00010024501596606	9.354865886984831e-08	0.000125694707156133	0.8944460778131511	0.00666546124760806	0.0845335906721338	2.3787386385481103e-05	0.329764177151934	0.24759617010720902	0.704541264567428	0.10884569451390601	0.00016314657029046402	0.0764703514453953	0.9912751888325011	0.728171641005082	0.9344603195070771	0.15690839699474302	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	2.08341145833333	0.6107760416666681	-0.00796874999999897	0.17611197916666702	0.14620833333333502	1.2295	0.151257812500001	-0.126554687499999	-0.0393333333333334	-0.15897135416666502
9	ILMN_2822000	NM_029415.1	NP_083691.1	Slc10a6			4.67216910951512e-26	3.1466134114573804e-22	2.1029692837725e-22	2.15732736462751e-22	1.9416240499884198e-21	1.3871786244130201e-18	1.62135153431655e-09	3.73874527584768e-06	0.18190400065676302	0.00100602998715609	0.43735164723787	0.0037432899650815202	0.0465931437664687	0.9359217954710031	0.437246728599787	0.881319997735561	3.82531250035617e-05	0.00922407351118408	0.9132682544287011	0.558796033257109	0.9711872511721391	0.809415483719065	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	2.94812760416667	1.80023697916667	0.0731067708333324	0.47046354166666704	0.0687161458333332	0.354807291666667	0.15885156250000101	0.008489583333332721	-0.0459557291666668	-0.0137135416666663
